"Time [ms]","StrandedLoss [kW]"
0,7.08320855762825
0.04,7.08320855752482
0.08,7.08320855741943
0.12,7.08320855731248
0.16,7.0832085572044
0.2,7.08320855709563
0.24,7.08320855698658
0.28,7.08320855687768
0.32,7.08320855676938
0.36,7.0832085566621
0.4,7.08320855655625
0.44,7.08320855645225
0.48,7.08320855635053
0.52,7.08320855625146
0.56,7.08320855615547
0.6,7.0832085560629
0.64,7.08320855597415
0.68,7.08320855588954
0.72,7.08320855580943
0.76,7.08320855573412
0.8,7.08320855566391
0.84,7.08320855559908
0.88,7.08320855553988
0.92,7.08320855548654
0.96,7.08320855543929
1,7.0832085553983
1.04,7.08320855536374
1.08,7.08320855533574
1.12,7.08320855531442
1.16,7.08320855529984
1.2,7.08320855529209
1.24,7.08320855529117
1.28,7.08320855529711
1.32,7.08320855530987
1.36,7.08320855532942
1.4,7.08320855535565
1.44,7.08320855538849
1.48,7.08320855542779
1.52,7.0832085554734
1.56,7.08320855552514
1.6,7.0832085555828
1.64,7.08320855564616
1.68,7.08320855571497
1.72,7.08320855578896
1.76,7.08320855586784
1.8,7.08320855595128
1.84,7.08320855603897
1.88,7.08320855613055
1.92,7.08320855622568
1.96,7.08320855632395
2,7.08320855642501
2.04,7.08320855652844
2.08,7.08320855663384
2.12,7.0832085567408
2.16,7.08320855684886
2.2,7.08320855695764
2.24,7.08320855706668
2.28,7.08320855717558
2.32,7.08320855728389
2.36,7.08320855739117
2.4,7.08320855749702
2.44,7.08320855760101
2.48,7.08320855770274
2.52,7.0832085578018
2.56,7.08320855789779
2.6,7.08320855799036
2.64,7.08320855807911
2.68,7.08320855816371
2.72,7.08320855824383
2.76,7.08320855831915
2.8,7.08320855838936
2.84,7.08320855845419
2.88,7.08320855851339
2.92000000000001,7.08320855856672
2.96000000000001,7.08320855861397
3.00000000000001,7.08320855865497
3.04000000000001,7.08320855868952
3.08000000000001,7.08320855871753
3.12000000000001,7.08320855873886
3.16000000000001,7.08320855875341
3.20000000000001,7.08320855876118
3.24000000000001,7.08320855876209
3.28000000000001,7.08320855875615
3.32000000000001,7.08320855874338
3.36000000000001,7.08320855872384
