"Time [ms]","Moving1.Torque [NewtonMeter]"
0,434.505557495295
0.05,435.861400027848
0.1,431.717437713651
0.15,421.101548130723
0.2,405.371148823063
0.25,388.593975841972
0.3,373.482927564321
0.35,362.163466408983
0.4,355.104963255968
0.45,352.757306774072
0.5,354.767544536319
0.55,360.405177073723
0.6,369.693550742015
0.65,382.418563454275
0.7,397.377488054673
0.75,410.609408828154
0.8,421.401140681191
0.85,427.747932482708
0.9,429.305086908496
0.95,424.062783003376
1,413.107758258974
1.05,400.30042971881
1.1,387.050264650902
1.15,376.486669287188
1.2,370.09512282338
1.25,367.871134396928
1.3,370.174412294763
1.35,376.287154565951
1.4,384.908853571823
1.45,394.393722220104
1.5,405.926635219125
1.55,417.072554182497
1.6,426.975117923986
1.65,433.296361218723
1.7,435.86770381729
1.75,433.86340559133
1.8,425.249551452438
1.85,410.963257134482
1.9,393.905760563281
1.95,378.217866076036
2,365.416828479103
2.05,356.814227589257
2.1,352.813755317585
2.15,353.447956607437
2.2,358.115428159239
2.25,366.195805500742
2.3,377.831884950266
2.35,392.538002183386
2.4,406.55161931408
2.45,418.191324232416
2.5,425.980943256125
2.55,429.47914897546
2.6,426.716029142845
2.65,417.325933582013
2.7,404.603947575438
2.75,391.367160906121
2.8,379.64882776837
2.85,371.836454753757
2.9,368.254710839071
2.95,368.893541308082
3,373.809190273125
3.05,381.927042140646
3.1,391.227778688458
3.15,401.745316642304
3.2,413.309375370841
3.25,424.094403473536
3.3,431.792960354762
3.35,435.557859186058
3.4,435.276827397926
3.45,428.965702229873
3.5,416.289788041068
3.55,399.803749245043
3.6,383.118749545887
3.65,369.198551449883
3.7,359.161472520256
3.75,353.48686187915
3.8,352.852863775952
3.85,356.192487066264
3.9,363.146950777125
3.95,373.440573932491
4,387.666722401278
4.05,401.874602916107
4.1,414.648388044563
4.15,424.070461880768
4.2,429.002848822762
4.25,428.628515824757
4.3,421.095734315321
4.35,409.223809898444
4.4,395.726558140273
4.45,383.222820054238
4.5,373.794879168561
4.55,368.884044537684
4.6,368.103653838037
4.65,371.640182939383
4.7,378.994743060263
4.75,387.866549137921
4.8,397.887828185669
4.85,409.477824392757
4.9,420.650057897829
4.95,429.515572311386
5,434.505588385359
5.05,435.861400014958
5.1,431.717437713665
5.15,421.10154813074
5.2,405.37114882309
5.25,388.59397584198
5.3,373.482927564332
5.35,362.163466408981
5.4,355.10496325599
5.44999999999999,352.757306774084
5.49999999999999,354.767544536334
5.54999999999999,360.405177073715
5.59999999999999,369.693550742
5.64999999999999,382.418563454272
5.69999999999999,397.377488054653
5.74999999999999,410.60940882815
5.79999999999999,421.401140681118
5.84999999999999,427.747932482729
5.89999999999999,429.305086908514
5.94999999999999,424.062783003382
5.99999999999999,413.107758258974
6.04999999999999,400.300429718832
6.09999999999999,387.050264650887
6.14999999999999,376.486669287183
6.19999999999999,370.09512282339
6.24999999999999,367.871134396924
6.29999999999999,370.174412294775
6.34999999999999,376.287154565965
6.39999999999999,384.908853571825
6.44999999999999,394.393722220122
6.49999999999999,405.926635219108
6.54999999999999,417.072554182486
6.59999999999999,426.975117924003
6.64999999999999,433.296361218725
6.69999999999999,435.867703817279
6.74999999999999,433.863405591356
6.79999999999999,425.249551452445
6.84999999999999,410.963257134438
6.89999999999999,393.905760563265
6.94999999999999,378.217866076044
6.99999999999999,365.416828479101
7.04999999999999,356.814227589263
7.09999999999998,352.813755317601
7.14999999999998,353.447956607428
7.19999999999998,358.11542815923
7.24999999999998,366.195805500752
7.29999999999998,377.831884950257
7.34999999999998,392.538002183361
7.39999999999998,406.551619314061
7.44999999999998,418.191324232376
7.49999999999998,425.980943256145
7.54999999999998,429.479148975462
7.59999999999998,426.716029142843
7.64999999999998,417.325933582002
7.69999999999998,404.603947575446
7.74999999999998,391.367160906135
7.79999999999998,379.648827768377
7.84999999999998,371.8364547538
7.89999999999998,368.254710839051
7.94999999999998,368.893541308087
7.99999999999998,373.809190273113
8.04999999999998,381.927042140595
8.09999999999998,391.227778688426
8.14999999999998,401.745316642315
8.19999999999998,413.309375370848
8.24999999999998,424.094403473539
8.29999999999998,431.792960354764
8.34999999999998,435.557859186069
8.39999999999998,435.276827397954
8.44999999999998,428.96570222987
8.49999999999998,416.28978804109
8.54999999999998,399.803749245033
8.59999999999998,383.118749545918
8.64999999999998,369.198551449881
8.69999999999998,359.161472520263
8.74999999999997,353.486861879173
8.79999999999997,352.852863775942
8.84999999999997,356.19248706624
8.89999999999997,363.146950777104
8.94999999999997,373.440573932499
8.99999999999997,387.666722401232
9.04999999999997,401.874602916097
9.09999999999997,414.648388044563
9.14999999999997,424.070461880771
9.19999999999997,429.002848822774
9.24999999999997,428.628515824738
9.29999999999997,421.095734315317
9.34999999999997,409.22380989845
9.39999999999997,395.726558140304
9.44999999999997,383.222820054259
9.49999999999997,373.794879168584
9.54999999999997,368.884044537712
9.59999999999997,368.103653838047
9.64999999999997,371.640182939389
9.69999999999997,378.994743060246
