"Time [ms]","CoreLoss [mW]"
0,0
0.04,2.6377377624349
0.08,2.85593286608419
0.12,3.0490961905747
0.16,3.34893504032727
0.2,3.7481207330411
0.24,4.05728587486253
0.28,4.3018317141592
0.32,4.50628725463348
0.36,4.64383277715796
0.4,4.75724546868475
0.44,4.80832848471962
0.48,4.78636756646634
0.52,4.64131465881225
0.56,4.38860828631658
0.6,4.16778278344794
0.64,4.03540868478135
0.68,3.88886869605218
0.72,3.7430944206415
0.76,3.69327580204447
0.8,3.78251533016794
0.84,3.99583301452218
0.88,4.21124278829933
0.92,4.41556578760093
0.96,4.59415793971184
1,4.75724992598747
1.04,4.85899222124662
1.08,4.89548443115574
1.12,4.89501724537579
1.16,4.81065708229274
1.2,4.61881320763164
1.24,4.46472102228915
1.28,4.27635451123079
1.32,4.0381044185244
1.36,3.87701299131478
1.4,3.79730380223122
1.44,3.7898261933222
1.48,3.88276177948871
1.52,4.05574956917691
1.56,4.27823229431526
1.6,4.51993713106276
1.64,4.67005394276821
1.68,4.77836033238769
1.72,4.81801152282391
1.76,4.81726354666673
1.8,4.80638326145182
1.84,4.7543516055099
1.88,4.58365273188841
1.92,4.32439585045182
1.96,4.10960941147578
2,3.95415382414861
2.04,3.83587001633488
2.08,3.75623852359094
2.12,3.73735217053014
2.16,3.89788619705141
2.2,4.20242994132189
2.24,4.42868608076752
2.28,4.59860210781228
2.32,4.73461938677944
2.36,4.81490906069941
2.4,4.87066010101199
2.44,4.86436556685441
2.48,4.83528215338894
2.52,4.72190739719104
2.56,4.47695700585324
2.6,4.29279453317426
2.64,4.1339772083516
2.68,3.96783811286194
2.72,3.81521312857556
2.76,3.76982037491911
2.8,3.85923880912288
2.84,4.09372435797629
2.88,4.30734558948549
2.92000000000001,4.49105612044918
2.96000000000001,4.64358802114275
3.00000000000001,4.77007267643217
3.04000000000001,4.87161770865175
3.08000000000001,4.8847805045296
3.12000000000001,4.8962168302653
3.16000000000001,4.86420565127953
3.20000000000001,4.72824163097692
3.24000000000001,4.53187200754316
3.28000000000001,4.29586748856111
3.32000000000001,4.10246649881515
3.36000000000001,3.94264853872947
3.40000000000001,3.85919421122866
3.44000000000001,3.88860123753627
3.48000000000001,3.99504425987828
3.52000000000001,4.2000126166216
3.56000000000001,4.43750964867251
3.60000000000001,4.60561748158434
3.64000000000001,4.78254542365019
3.68000000000001,4.92069000258692
3.72000000000001,4.98450326670703
3.76000000000001,5.06925447395688
3.80000000000001,5.12215739556859
3.84000000000001,5.10310212110906
3.88000000000001,4.95261998065114
3.92000000000001,4.70403520579727
3.96000000000001,4.52109610645484
4.00000000000001,4.41187528386734
4.04000000000001,4.32957931368146
4.08000000000001,4.31925678645819
4.12000000000001,4.34779902785792
4.16000000000001,4.51982207491157
4.20000000000001,4.82592488644929
4.24000000000001,5.05724029973219
4.28000000000001,5.26332709058659
4.32000000000001,5.45278306289177
4.36000000000001,5.58928324092396
