"Time [ms]","StrandedLoss [kW]"
0,6.81297424701698
0.0666666666666665,6.81297424701609
0.133333333333333,6.81297424701454
0.199999999999999,6.81297424701236
0.266666666666666,6.81297424700954
0.333333333333332,6.8129742470061
0.399999999999999,6.81297424700205
0.466666666666665,6.81297424699741
0.533333333333332,6.8129742469922
0.599999999999998,6.81297424698643
0.666666666666665,6.81297424698013
0.733333333333331,6.81297424697332
0.799999999999998,6.81297424696603
0.866666666666664,6.8129742469583
0.933333333333331,6.81297424695014
0.999999999999997,6.8129742469416
1.06666666666666,6.8129742469327
1.13333333333333,6.81297424692348
1.2,6.81297424691399
1.26666666666666,6.81297424690425
1.33333333333333,6.8129742468943
1.4,6.81297424688417
1.46666666666666,6.81297424687394
1.53333333333333,6.8129742468636
1.6,6.81297424685322
1.66666666666666,6.81297424684284
1.73333333333333,6.81297424683249
1.8,6.81297424682223
1.86666666666666,6.81297424681208
1.93333333333333,6.81297424680208
1.99999999999999,6.81297424679228
2.06666666666666,6.81297424678272
2.13333333333333,6.81297424677342
2.19999999999999,6.81297424676444
2.26666666666666,6.81297424675581
2.33333333333333,6.81297424674756
2.4,6.8129742467397
2.46666666666666,6.81297424673231
2.53333333333333,6.81297424672538
2.6,6.81297424671895
2.66666666666666,6.81297424671304
2.73333333333333,6.81297424670769
2.8,6.8129742467029
2.86666666666666,6.8129742466987
2.93333333333333,6.81297424669511
3,6.81297424669213
3.06666666666666,6.81297424668978
3.13333333333333,6.81297424668808
3.2,6.81297424668702
3.26666666666666,6.81297424668661
3.33333333333333,6.81297424668686
3.4,6.81297424668775
3.46666666666666,6.81297424668929
3.53333333333333,6.81297424669147
3.6,6.8129742466943
3.66666666666666,6.81297424669773
3.73333333333333,6.81297424670179
3.8,6.81297424670643
3.86666666666666,6.81297424671165
3.93333333333333,6.81297424671741
3.99999999999999,6.81297424672371
4.06666666666666,6.81297424673052
4.13333333333333,6.81297424673781
4.19999999999999,6.81297424674554
4.26666666666666,6.81297424675369
4.33333333333333,6.81297424676224
4.39999999999999,6.81297424677113
4.46666666666666,6.81297424678035
4.53333333333332,6.81297424678984
4.59999999999999,6.81297424679959
4.66666666666666,6.81297424680954
4.73333333333332,6.81297424681966
4.79999999999999,6.8129742468299
4.86666666666666,6.81297424684023
4.93333333333332,6.81297424685061
4.99999999999999,6.81297424686099
5.06666666666666,6.81297424687134
5.13333333333332,6.8129742468816
5.19999999999999,6.81297424689176
5.26666666666665,6.81297424690176
5.33333333333332,6.81297424691155
5.39999999999999,6.81297424692112
5.46666666666665,6.81297424693041
5.53333333333332,6.81297424693939
5.59999999999999,6.81297424694802
5.66666666666665,6.81297424695628
5.73333333333332,6.81297424696412
5.79999999999998,6.81297424697153
5.86666666666665,6.81297424697846
5.93333333333332,6.81297424698488
5.99999999999998,6.81297424699079
6.06666666666665,6.81297424699615
6.13333333333332,6.81297424700094
6.19999999999998,6.81297424700513
6.26666666666665,6.81297424700874
6.33333333333331,6.81297424701171
6.39999999999998,6.81297424701405
6.46666666666665,6.81297424701576
6.53333333333331,6.81297424701682
6.59999999999998,6.81297424701723
6.66666666666665,6.81297424701699
6.73333333333331,6.81297424701608
6.79999999999998,6.81297424701455
6.86666666666664,6.81297424701236
6.93333333333331,6.81297424700955
6.99999999999998,6.8129742470061
7.06666666666664,6.81297424700205
7.13333333333331,6.81297424699741
7.19999999999998,6.8129742469922
7.26666666666664,6.81297424698643
7.33333333333331,6.81297424698012
7.39999999999997,6.81297424697332
7.46666666666664,6.81297424696604
7.53333333333331,6.81297424695831
7.59999999999997,6.81297424695015
7.66666666666664,6.8129742469416
7.73333333333331,6.81297424693271
7.79999999999997,6.81297424692349
7.86666666666664,6.81297424691399
7.9333333333333,6.81297424690425
7.99999999999997,6.8129742468943
8.06666666666664,6.81297424688418
8.1333333333333,6.81297424687393
8.19999999999997,6.81297424686361
8.26666666666664,6.81297424685323
8.3333333333333,6.81297424684285
8.39999999999997,6.8129742468325
8.46666666666663,6.81297424682223
8.5333333333333,6.81297424681208
8.59999999999997,6.81297424680209
8.66666666666663,6.81297424679229
8.7333333333333,6.81297424678272
8.79999999999997,6.81297424677344
8.86666666666663,6.81297424676445
8.9333333333333,6.81297424675581
8.99999999999996,6.81297424674755
9.06666666666663,6.81297424673971
9.1333333333333,6.81297424673231
9.19999999999996,6.81297424672538
9.26666666666663,6.81297424671895
9.3333333333333,6.81297424671305
9.39999999999996,6.81297424670769
9.46666666666663,6.8129742467029
9.53333333333329,6.8129742466987
9.59999999999996,6.81297424669511
9.66666666666663,6.81297424669213
9.73333333333329,6.81297424668979
9.79999999999996,6.81297424668808
9.86666666666663,6.81297424668702
9.93333333333329,6.81297424668661
9.99999999999996,6.81297424668685
10.0666666666666,6.81297424668774
10.1333333333333,6.8129742466893
10.2,6.81297424669148
10.2666666666666,6.81297424669429
10.3333333333333,6.81297424669773
10.4,6.81297424670178
10.4666666666666,6.81297424670642
10.5333333333333,6.81297424671164
10.6,6.81297424671741
10.6666666666666,6.81297424672371
10.7333333333333,6.81297424673052
10.8,6.8129742467378
10.8666666666666,6.81297424674554
10.9333333333333,6.81297424675369
11,6.81297424676223
11.0666666666666,6.81297424677113
11.1333333333333,6.81297424678035
11.2,6.81297424678985
11.2666666666666,6.81297424679959
11.3333333333333,6.81297424680954
11.4,6.81297424681966
11.4666666666666,6.8129742468299
11.5333333333333,6.81297424684023
11.5999999999999,6.81297424685061
11.6666666666666,6.812974246861
11.7333333333333,6.81297424687135
11.7999999999999,6.81297424688162
11.8666666666666,6.81297424689177
