"Time [ms]","InducedVoltage(Phase_A)-InducedVoltage(Phase_B) [V]"
0,110.234250775169
0.05,110.002249019837
0.1,109.770247264504
0.15,108.775432963972
0.2,107.825911933668
0.25,107.402149161526
0.3,107.063960325514
0.35,109.615715910453
0.4,114.690762449526
0.45,120.719286144161
0.5,124.950263015116
0.55,129.651884431231
0.6,135.597283278942
0.65,143.636145832716
0.7,151.554253438431
0.75,158.076334562961
0.8,162.293835388296
0.85,164.76635240675
0.9,164.171168057166
0.95,162.833308812985
1,160.121216795935
1.05,157.294545695314
1.1,154.693558187018
1.15,154.560944048677
1.2,159.253602243355
1.25,166.881198072845
1.3,173.369293073256
1.35,177.825943227307
1.4,182.996742729602
1.45,190.926895821338
1.5,200.062717113433
1.55,208.22252881163
1.6,214.466028895619
1.65,217.869593045098
1.7,219.573889730753
1.75,217.186683298157
1.8,212.63098093117
1.85,205.596803005935
1.9,197.067472360675
1.95,187.930652017471
2,181.31452589844
2.05,176.342573969814
2.1,171.735918771261
2.15,163.986894449348
2.2,157.315132156903
2.25,154.154445807992
2.3,155.611221468011
2.35,158.08969128963
2.4,161.020615908762
2.45,163.467277013253
2.5,164.750669479216
2.55,164.241557733546
2.6,161.189229515856
2.65,156.016477820606
2.7,148.953510153993
2.75,141.07134529061
2.8,133.370635141953
2.85,128.020520133094
2.9,123.39937751455
2.95,118.968235607615
3,112.85829227462
3.05,108.445939479884
3.1,106.944898257141
3.15,107.491711591671
3.2,108.152777430703
3.25,109.234067474417
3.3,109.902823433977
3.35,109.918204584442
3.4,108.058353974494
3.45,105.00076998988
3.5,99.7508298458589
3.55,92.3629028773956
3.6,83.8651810623173
3.65,75.5365487306067
3.7,66.697355933975
3.75,56.400957528551
3.8,44.7789797159517
3.85,32.8664566163661
3.9,23.2608444497956
3.95,16.4991445249202
4,10.9139041919581
4.05,6.1698874095845
4.1,3.0514812413507
4.15,1.0516118135373
4.2,-0.1776718084446
4.25,-1.6459928891877
4.3,-3.9570293003782
