"Time [ms]","StrandedLoss [kW]"
0,6.97939530285552
0.05,6.97939530280603
0.1,6.97939530274969
0.15,6.97939530268673
0.2,6.97939530261738
0.25,6.97939530254192
0.3,6.97939530246065
0.35,6.97939530237388
0.4,6.97939530228198
0.45,6.97939530218529
0.5,6.9793953020842
0.55,6.97939530197911
0.6,6.97939530187041
0.65,6.97939530175856
0.7,6.97939530164399
0.75,6.97939530152716
0.8,6.97939530140852
0.85,6.97939530128856
0.9,6.97939530116772
0.95,6.97939530104651
1,6.97939530092536
1.05,6.9793953008048
1.1,6.97939530068527
1.15,6.97939530056726
1.2,6.97939530045125
1.25,6.97939530033768
1.3,6.97939530022698
1.35,6.9793953001196
1.4,6.979395300016
1.45,6.97939529991655
1.5,6.97939529982164
1.55,6.97939529973166
1.6,6.97939529964696
1.65,6.97939529956787
1.7,6.9793952994947
1.75,6.97939529942776
1.8,6.9793952993673
1.85,6.97939529931355
1.9,6.97939529926675
1.95,6.97939529922704
2,6.97939529919461
2.05,6.97939529916959
2.1,6.97939529915206
2.15,6.9793952991421
2.2,6.97939529913975
2.25,6.97939529914502
2.3,6.97939529915787
2.35,6.97939529917828
2.4,6.97939529920614
2.45,6.97939529924137
2.5,6.9793952992838
2.55,6.97939529933329
2.6,6.97939529938962
2.65,6.9793952994526
2.7,6.97939529952195
2.75,6.9793952995974
2.8,6.97939529967866
2.85,6.97939529976543
2.9,6.97939529985734
2.95,6.97939529995403
3,6.97939530005512
3.05,6.97939530016021
3.1,6.97939530026891
3.15,6.97939530038075
3.2,6.97939530049532
3.25,6.97939530061215
3.3,6.97939530073077
3.35,6.97939530085076
3.4,6.9793953009716
3.45,6.97939530109282
3.5,6.97939530121397
3.55,6.97939530133452
3.6,6.97939530145405
3.65,6.97939530157206
3.7,6.97939530168807
3.75,6.97939530180164
3.8,6.97939530191233
3.85,6.9793953020197
3.9,6.97939530212332
3.95,6.97939530222277
4,6.97939530231769
4.05,6.97939530240766
4.1,6.97939530249237
4.15,6.97939530257145
4.2,6.97939530264462
4.25,6.97939530271156
4.3,6.97939530277202
4.35,6.97939530282576
4.4,6.97939530287257
4.45,6.97939530291227
4.5,6.9793953029447
4.55,6.97939530296973
4.6,6.97939530298727
4.65,6.9793953029972
4.7,6.97939530299957
4.75,6.97939530299432
4.8,6.97939530298146
4.85,6.97939530296105
4.9,6.97939530293319
4.95,6.97939530289796
5,6.97939530285552
5.05,6.97939530280603
5.1,6.97939530274968
5.15,6.97939530268673
5.2,6.97939530261737
5.25,6.97939530254193
5.3,6.97939530246065
5.35,6.97939530237388
5.4,6.97939530228198
5.44999999999999,6.97939530218529
5.49999999999999,6.9793953020842
5.54999999999999,6.9793953019791
5.59999999999999,6.97939530187042
5.64999999999999,6.97939530175856
5.69999999999999,6.97939530164401
5.74999999999999,6.97939530152718
5.79999999999999,6.97939530140852
5.84999999999999,6.97939530128857
5.89999999999999,6.97939530116772
5.94999999999999,6.9793953010465
5.99999999999999,6.97939530092536
6.04999999999999,6.9793953008048
6.09999999999999,6.97939530068527
6.14999999999999,6.97939530056726
6.19999999999999,6.97939530045125
6.24999999999999,6.97939530033768
6.29999999999999,6.97939530022698
6.34999999999999,6.97939530011961
6.39999999999999,6.979395300016
6.44999999999999,6.97939529991655
6.49999999999999,6.97939529982164
6.54999999999999,6.97939529973166
6.59999999999999,6.97939529964696
6.64999999999999,6.97939529956787
6.69999999999999,6.9793952994947
6.74999999999999,6.97939529942777
6.79999999999999,6.9793952993673
6.84999999999999,6.97939529931355
6.89999999999999,6.97939529926674
6.94999999999999,6.97939529922705
6.99999999999999,6.97939529919462
7.04999999999999,6.97939529916959
7.09999999999998,6.97939529915205
7.14999999999998,6.97939529914209
7.19999999999998,6.97939529913975
7.24999999999998,6.979395299145
7.29999999999998,6.97939529915787
7.34999999999998,6.97939529917827
7.39999999999998,6.97939529920613
7.44999999999998,6.97939529924136
7.49999999999998,6.9793952992838
7.54999999999998,6.97939529933328
7.59999999999998,6.97939529938962
7.64999999999998,6.97939529945258
7.69999999999998,6.97939529952195
7.74999999999998,6.97939529959741
