"Time [ms]","InducedVoltage(Phase_A)-InducedVoltage(Phase_B) [V]"
0,98.8669487744496
0.0666666666666665,101.863637591537
0.133333333333333,104.860326408624
0.199999999999999,108.381062447058
0.266666666666666,112.178798474881
0.333333333333332,115.582773678511
0.399999999999999,119.786523450271
0.466666666666665,126.590195901643
0.533333333333332,135.299885532706
0.599999999999998,140.814365050782
0.666666666666665,141.328786102505
0.733333333333331,140.289718734376
0.799999999999998,143.180596366969
0.866666666666664,148.042836462366
0.933333333333331,149.592337887925
0.999999999999997,149.685301063683
1.06666666666666,150.269714479914
1.13333333333333,150.186187159148
1.2,152.24401868812
1.26666666666666,156.635863575972
1.33333333333333,159.530957297884
1.4,162.209254047306
1.46666666666666,166.03283922377
1.53333333333333,169.708612125441
1.6,176.36205642016
1.66666666666666,186.901031424007
1.73333333333333,190.314302017684
1.8,186.898266902546
1.86666666666666,188.276263798401
1.93333333333333,193.776298345662
1.99999999999999,198.916533612598
2.06666666666666,201.420090099116
2.13333333333333,201.704480284365
2.19999999999999,199.572139551574
2.26666666666666,199.546621248543
2.33333333333333,201.11862766651
2.4,200.855574352754
2.46666666666666,200.64470525844
2.53333333333333,198.383273201782
2.6,190.989072945645
2.66666666666666,186.235410611196
2.73333333333333,187.96673707362
2.8,188.96920542179
2.86666666666666,183.83619629279
2.93333333333333,174.56504915955
3,167.709976791448
3.06666666666666,164.584709014157
3.13333333333333,162.151278660546
3.2,158.473205685022
3.26666666666666,154.530212765443
3.33333333333333,152.083114223774
3.4,150.271017292189
3.46666666666666,149.441610169876
3.53333333333333,150.224596352033
3.6,149.752909181491
3.66666666666666,146.385797189291
3.73333333333333,142.362664057302
3.8,141.894634134063
3.86666666666666,142.186976525595
3.93333333333333,139.005035309644
3.99999999999999,131.167709738927
4.06666666666666,122.76811303296
4.13333333333333,118.113738224372
4.19999999999999,114.835123202362
4.26666666666666,110.292803969032
4.33333333333333,107.105236829865
4.39999999999999,104.266098727352
4.46666666666666,100.376449107072
4.53333333333332,97.2430213695971
4.59999999999999,95.0118227814191
4.66666666666666,91.7985659899807
4.73333333333332,86.3799744316843
4.79999999999999,76.5478655418515
4.86666666666666,66.3065133392653
4.93333333333332,58.2927102031125
4.99999999999999,52.2535431234062
5.06666666666666,44.5768442013452
5.13333333333332,35.7924998071397
5.19999999999999,28.068845042747
5.26666666666665,20.8707582918318
5.33333333333332,13.80627921204
5.39999999999999,9.5007714206435
5.46666666666665,6.2569960758259
5.53333333333332,2.84134316468209
5.59999999999999,-0.679971817802297
5.66666666666665,-4.04138669379751
5.73333333333332,-7.1280568353941
5.79999999999998,-10.7390505012791
5.86666666666665,-16.4122283403866
5.93333333333332,-22.9902881997793
5.99999999999998,-29.935477464864
6.06666666666665,-38.0279995860519
6.13333333333332,-46.4514689108606
6.19999999999998,-54.2564806552695
6.26666666666665,-61.7273489572502
6.33333333333331,-69.6769186713934
6.39999999999998,-80.3484799081888
6.46666666666665,-88.9657323664222
6.53333333333331,-93.1689573419953
6.59999999999998,-95.3366651038579
6.66666666666665,-98.4782338312757
6.73333333333331,-101.863478260252
6.79999999999998,-104.860326721262
6.86666666666664,-108.381062455255
6.93333333333331,-112.178798486407
6.99999999999998,-115.582773684995
7.06666666666664,-119.786523453117
7.13333333333331,-126.590195925676
7.19999999999998,-135.299885549891
7.26666666666664,-140.814365058763
7.33333333333331,-141.328786095524
7.39999999999997,-140.289718735435
7.46666666666664,-143.180596379342
7.53333333333331,-148.042836468778
7.59999999999997,-149.592337890404
7.66666666666664,-149.685301065432
7.73333333333331,-150.269714473089
7.79999999999997,-150.186187165166
7.86666666666664,-152.244018696107
7.9333333333333,-156.635863587693
7.99999999999997,-159.530957299198
8.06666666666664,-162.209254052624
8.1333333333333,-166.032839237678
8.19999999999997,-169.708612133723
8.26666666666664,-176.362056440634
8.3333333333333,-186.901031611992
8.39999999999997,-190.314301853482
8.46666666666663,-186.898266885694
8.5333333333333,-188.276263807245
8.59999999999997,-193.776298356456
8.66666666666663,-198.916533621909
8.7333333333333,-201.420090114075
8.79999999999997,-201.704480271488
8.86666666666663,-199.572139550889
8.9333333333333,-199.5466212446
8.99999999999996,-201.118627676708
9.06666666666663,-200.855574355746
9.1333333333333,-200.644705247189
9.19999999999996,-198.383273192388
9.26666666666663,-190.989072929189
9.3333333333333,-186.235410604263
9.39999999999996,-187.966737085542
9.46666666666663,-188.969205416705
9.53333333333329,-183.836196278617
9.59999999999996,-174.565049135102
9.66666666666663,-167.709976786604
9.73333333333329,-164.584709008568
9.79999999999996,-162.15127865307
9.86666666666663,-158.473205675839
9.93333333333329,-154.530212754993
9.99999999999996,-152.08311382117
10.0666666666666,-150.271017693253
